pl_name,hostname,galactic_latitude,galactic_longitude,distance,visual_mag
HAT-P-1 b,HAT-P-1,-19.03641,99.79172,158.979,9.827
HAT-P-11 b,HAT-P-11,10.77239,81.83486,37.7647,9.46
HAT-P-11 c,HAT-P-11,10.77239,81.83486,37.7647,9.46
HAT-P-12 b,HAT-P-12,68.87632,87.99255,142.751,12.665
HAT-P-13 b,HAT-P-13,37.54198,172.49839,246.81,10.421
HAT-P-13 c,HAT-P-13,37.54198,172.49839,246.81,10.421
HAT-P-14 b,HAT-P-14,33.53751,62.58916,222.663,9.988
HAT-P-15 b,HAT-P-15,-6.8916,161.55863,192.516,12.41
HAT-P-16 b,HAT-P-16,-20.34266,120.34675,226.637,10.911
HAT-P-17 b,HAT-P-17,-16.17689,80.8515,92.3831,10.375
HAT-P-17 c,HAT-P-17,-16.17689,80.8515,92.3831,10.375
HAT-P-18 b,HAT-P-18,35.56176,55.652,161.4,12.597
HAT-P-19 b,HAT-P-19,-28.07947,119.8176,202.078,12.826
HAT-P-2 b,HAT-P-2,45.2323,65.02085,127.774,8.72
HAT-P-2 c,HAT-P-2,45.2323,65.02085,127.774,8.72
HAT-P-20 b,HAT-P-20,18.39436,194.41535,71.0374,11.231
HAT-P-21 b,HAT-P-21,67.4636,169.32461,277.278,11.459
HAT-P-22 b,HAT-P-22,53.56645,163.64677,81.7647,9.763
HAT-P-23 b,HAT-P-23,-11.83428,58.93637,364.813,11.937
HAT-P-24 b,HAT-P-24,11.65314,202.73799,415.344,11.762
HAT-P-25 b,HAT-P-25,-27.44257,159.31431,300.384,13.146
HAT-P-26 b,HAT-P-26,59.87255,346.51303,141.837,11.757
HAT-P-27 b,HAT-P-27,54.544,1.68335,199.173,12.052
HAT-P-28 b,HAT-P-28,-28.1432,123.06375,401.319,13.098
HAT-P-29 b,HAT-P-29,-9.10798,135.4706,313.576,11.825
HAT-P-3 b,HAT-P-3,66.69255,100.16678,134.554,11.856
